"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
0.000000000E0,1.855059967E2,3.847222519E1,-4.465226746E1,1.946443216E2
1.000000000E-2,1.847558594E2,3.801739120E1,-4.358528137E1,1.935968139E2
2.000000000E-2,1.835626831E2,3.918202591E1,-4.342127991E1,1.926548658E2
3.000000000E-2,1.852279205E2,3.995956802E1,-4.375279236E1,1.944748222E2
4.000000000E-2,1.844640045E2,3.978775406E1,-4.464179993E1,1.939147355E2
5.000000000E-2,1.851985779E2,3.757663345E1,-4.419178772E1,1.940706849E2
6.000000000E-2,1.831019897E2,3.975486374E1,-4.507066345E1,1.927126165E2
7.000000000E-2,1.862600403E2,3.893037796E1,-4.526820374E1,1.955954683E2
8.000000000E-2,1.836982117E2,3.931959915E1,-4.537898254E1,1.932622982E2
9.000000000E-2,1.856767120E2,3.996609879E1,-4.421119690E1,1.950070778E2
1.000000000E-1,1.855175781E2,3.907155991E1,-4.405387878E1,1.946383899E2
1.100000000E-1,1.861211700E2,3.908469772E1,-4.406373596E1,1.952186373E2
1.200000000E-1,1.856596222E2,3.921469498E1,-4.525987244E1,1.950788140E2
1.300000000E-1,1.837108612E2,3.844612503E1,-4.281858826E1,1.925128997E2
1.400000000E-1,1.832519226E2,3.857832718E1,-4.371406555E1,1.923030785E2
1.500000000E-1,1.852102661E2,3.891293716E1,-4.449925232E1,1.944151301E2
1.600000000E-1,1.852273560E2,3.966433334E1,-4.345057678E1,1.943460454E2
1.700000000E-1,1.846001434E2,3.889424515E1,-4.524113464E1,1.940018957E2
1.800000000E-1,1.849005280E2,3.816274643E1,-4.449058533E1,1.939691023E2
1.900000000E-1,1.845923615E2,3.756127548E1,-4.448268127E1,1.935559306E2
2.000000000E-1,1.837015533E2,3.902769852E1,-4.462574768E1,1.930307730E2
2.100000000E-1,1.847630768E2,3.905513382E1,-4.404158020E1,1.939132765E2
2.200000000E-1,1.835575867E2,3.991455460E1,-4.492848206E1,1.931453541E2
2.300000000E-1,1.843048706E2,3.889322281E1,-4.448451233E1,1.935454467E2
2.400000000E-1,1.855203094E2,3.981074905E1,-4.465901184E1,1.949284697E2
2.500000000E-1,1.847571259E2,3.934481430E1,-4.509547424E1,1.942081661E2
2.600000000E-1,1.859830475E2,3.894490433E1,-4.240672302E1,1.946913703E2
2.700000000E-1,1.847578583E2,3.905069351E1,-4.464295959E1,1.940448832E2
2.800000000E-1,1.845948029E2,3.815284348E1,-4.493669128E1,1.937787061E2
2.900000000E-1,1.841542511E2,3.903755569E1,-4.463313293E1,1.934653341E2
3.000000000E-1,1.847514954E2,3.845579910E1,-4.463996887E1,1.939192882E2
3.100000000E-1,1.841536865E2,3.874232101E1,-4.433091736E1,1.933359199E2
3.200000000E-1,1.849084778E2,3.890636826E1,-4.449433899E1,1.941252092E2
3.300000000E-1,1.842903900E2,3.814404678E1,-4.523246765E1,1.935559151E2
3.400000000E-1,1.844449310E2,3.800304794E1,-4.463279724E1,1.935361745E2
3.500000000E-1,1.840227661E2,3.964027023E1,-4.313023376E1,1.931215849E2
3.600000000E-1,1.832511749E2,3.887244797E1,-4.416658020E1,1.924649244E2
3.700000000E-1,1.849307251E2,4.098852158E1,-4.450483704E1,1.945767522E2
3.800000000E-1,1.846027527E2,3.889646530E1,-4.494044495E1,1.939349244E2
3.900000000E-1,1.847781219E2,4.009953690E1,-4.359577942E1,1.940399938E2
4.000000000E-1,1.850648804E2,3.906170273E1,-4.404649353E1,1.942032960E2
4.100000000E-1,1.848796844E2,3.681866837E1,-4.523558044E1,1.938617286E2
4.200000000E-1,1.847545166E2,3.934259415E1,-4.539619446E1,1.942752830E2
4.300000000E-1,1.843041382E2,3.918734360E1,-4.493702698E1,1.937085430E2
4.400000000E-1,1.861148224E2,3.848980331E1,-4.406071472E1,1.950936664E2
4.500000000E-1,1.841548767E2,3.800647354E1,-4.327476501E1,1.929513305E2
4.600000000E-1,1.842995300E2,3.815182114E1,-4.418003845E1,1.933229268E2
4.700000000E-1,1.847507629E2,3.874991226E1,-4.509248352E1,1.940817667E2
4.800000000E-1,1.847396240E2,3.770884323E1,-4.508723450E1,1.938647576E2
4.900000000E-1,1.841679993E2,4.008084488E1,-4.433766174E1,1.936237442E2
5.000000000E-1,1.831063538E2,3.931644821E1,-4.401603699E1,1.923827731E2
5.100000000E-1,1.859503021E2,3.818018723E1,-4.525953674E1,1.951503708E2
5.200000000E-1,1.840332031E2,3.964915085E1,-4.192744446E1,1.928683116E2
5.300000000E-1,1.844580994E2,3.875111008E1,-4.403517151E1,1.935601593E2
5.400000000E-1,1.844560547E2,3.904412460E1,-4.463804626E1,1.937550901E2
5.500000000E-1,1.854915161E2,3.772304916E1,-4.540025330E1,1.946569135E2
5.600000000E-1,1.845995789E2,3.859901810E1,-4.493894958E1,1.938721174E2
